word,bVoice_sym1,bVoice_sym2
gentlemen,'ʤɛ nəl mɪn,
handed,'hæn dəd,
handing,'hæn dɪŋ,
pointed,'poɪn tɪd,
pointing,'poɪn tɪŋ,
blew, blu,
blow, bloʊ,
blowing,'bloʊ wɪŋ,
blown, bloʊn,
blows, bloʊz,
small, smɔl,
smaller,'smɔ lɚ,
smallest,'smɔ lɪst,
trouble,'ʧɹʌ bəl,
troubles,'tɹʌ bəlz,
sweetie,'swi ɾi,
sweeties,'swi ɾiz,
sang, seɪŋ,
sing, sɪŋ,
singing,'sɪŋ ɪŋ,
sings, sɪŋz,
sung, sʌŋ,
pass, pæs,
passed, pæst,
passes,'pæ səz,
passing,'pæ sɪŋ,
beat, bit,
beaten,'bi ɾən,
beating,'bi ɾɪŋ,
beats, bits,
piece, pis,
pieces,'pi səz,
shoe, ʃu,
shoes, ʃuz,
welcome,'wɛl kəm,
gods, gɑdz,
white, waɪt,
kick, kɪk,
kicked, kɪkt,
kicking,'kɪ kɪŋ,
kicks, kɪks,
bag, bæg,
bags, bægz,
earlier,'ɚ li ɚ,
earliest,'ɚ li əst,
early,'ɚ li,
excite, ɪk 'saɪt,
excited, ɪk 'saɪ ɾɪd,
excites, ɪk 'saɪts,
exciting, ɪk 'saɪ ɾɪŋ,
wonderful,'wʌn dɚ fəl,
seriously,'siɚ i ə sli,
countries,'kʌn tɹiz,
country,'kʌn ʧɹi,
mouth, maʊθ,
mouths, maʊðz,
questioned,'kwɛs ʧənd,
questioning,'kwɛs ʧə nɪŋ,
dear, diɚ,
quite, kwaɪt,
smart, smɑɚt,
smarter,'smɑɚ tɚ,
smartest,'smɑɚ təst,
husband,'hʌz bɪnd,
invite, ɪn 'vaɪt,
invited, ɪn 'vaɪ ɾəd,
invites, ɪn 'vaɪts,
inviting, ɪn 'vaɪ ɾɪŋ,
rest, ɹɛst,
rests, ɹɛsts,
yours, joɚz,
behind, bə 'haɪnd,
key, ki,
keys, kiz,
dress, dɹɛs,
dressed, dɹɛst,
dresses,'dɹɛ səz,
dressing,'ʤɹɛ sɪŋ,
red, ɹɛd,
laugh, læf,
laughed, læft,
laughing,'læ fɪŋ,
laughs, læfs,
agree, ʌ'gɹi,
agreed, ʌ 'gɹid,
agreeing, ə'gɹi ɪŋ,
agrees, ə'gɹiz,
machine, mə 'ʃin,
machines, mə 'ʃinz,
yep, jɛp,
return, ɹə 'tɚn,
returned, ɹɪ 'tɚnd,
returning, ɹɪ 'tɚ nɪŋ,
returns, ɹɪ 'tɚnz,
space, speɪs,
spaces,'speɪ səz,
mad, mæd,
truth, tɹuθ/ʧɹuθ,
truths, tɹuθs,
ice, aɪs,
ices,'aɪ səz,
follow,'fɑ loʊ,
followed,'fɑ loʊd,
following,'fɑ loʊ wɪŋ,
follows,'fɑ loʊz,
outside, aʊt 'saɪd,
idiot,'ɪ di ət,
idiots,'ɪ di əts,
rule, ɹul,
rules, ɹulz,
absolutely, æb sə 'lu tli,
against, ə 'gɛnst,
American, ʌ 'məɚ ə kɪn,
Americans, ə 'mɛ ɹə kənz,
scare, skeɚ,
scared, skeɚd,
scares, skeɚz,
scaring,'skeɚ əŋ,
notice,'noʊ ɾɪs,
noticed,'noʊ ɾəst,
notices,'noʊ ɾə səz,
noticing,'noʊ ɾɪ sɪŋ,
chicken,'ʧɪ kɪn,
chickens,'ʧɪ kɪnz,
ridden,'ɹɪ ɾən,
ride, ɹaɪd,
rides, ɹaɪdz,
riding,'ɹaɪ ɾɪŋ,
rode, ɹoʊd,
music,'mju zɪk,
join, ʤoɪn,
joined, ʤoɪnd,
joining,'ʤoɪ nɪŋ,
joins, ʤoɪnz,
goodbye, gəd 'baɪ,
ruin,'ɹu wɪn,
ruined,'ɹu ənd,
ruining,'ɹu ɪ nɪŋ,
ruins,'ɹu ənz,
war, woɚ,
wars, woɚz,
screw, skɹu,
screwed, skɹud,
screwing,'skɹu ɪŋ,
screws, skɹuz,
light, laɪt,
lights, laɪts,
along, ʌ 'lɔŋ,
poor, poɚ,
poorer,'pu ɹɚ,
poorest,'pu ɹɪst,
sense, sɛns,
senses,'sɛn sɪz,
able,'eɪ bəl,
secret,'si kɹɪt,
secrets,'si kɹəts,
flew, flu,
flies, flaɪz,
flown, floʊn,
fly, flaɪ,
flying,'flaɪ ɪŋ,
top, tɑp,
tops, tɑps,
fair, feɚ,
fairer,'fɛ ɹɚ,
fairest,'fɛ ɹɪst,
relax, ɹə 'læks,
relaxed, ɹə 'lækst,
relaxes, ɹɪ 'læk sɪz,
relaxing, ɹə 'læk sɪŋ,
boyfriend,'boɪ fɹɛnd,
boyfriends,'boɪ fɹɛnz,
mistake, mɪ 'steɪk,
mistakes, mɪ 'steɪks,
luck, lʌk,
group, gɹup,
groups, gɹups,
daughter,'dɔ ɾɚ,
daughters,'dɔ ɾɚz,
college,'kɑ lɪʤ,
colleges,'kɑ lɪ ʤɪz,
president,'pɹɛ zɪ ɾənt,
presidents,'pɹɛ zɪ ɾəns,
far, fɑɚ,
farther,'fɑɚ ðɚ,
farthest,'fɑɚ ðɪst,
further,'fɚ ðɚ,
furthest,'fɚ θəst,
sign, saɪn,
signed, saɪnd,
signing,'saɪ nɪŋ,
signs, saɪnz,
closed, kloʊzd,
closes,'kloʊ zɪz,
closing,'kloʊ zɪŋ,
message,'mɛ sɪʤ,
messages,'mɛ sə ʤəz,
freak, fɹik,
freaked, fɹikt,
freaking,'fɹi kɪŋ,
freaks, fɹiks,
fault, fɔlt,
faulted,'fɔl tɪd,
faults, fɔlts,
quick, kwɪk,
quicker,'kwɪ kɚ,
quickest,'kwɪ kɪst,
except, ɪk 'sɛpt,
single,'sɪŋ gəl,
shirt, ʃɚt,
shirts, ʃɚts,
choice, ʧoɪs,
choices,'ʧoɪ səz,
attention, ʌ 'tɛn ʃən,
power,'paʊ wɚ,
powers,'paʊ wɚ,
quit, kwɪt,
quits, kwɪts,
quitted,'kwɪ ɾɪd,
quitting,'kwɪ ɾɪŋ,
answer,'æn sɚ,
answers,'æn sɚz,
trust, tɹʌst,
trusted,'tɹʌ stɪd,
trusting,'tɹʌ stɪŋ,
trusts, tɹʌsts,
fifties,'fɪf tiz,
fifty,'fɪf ti,
leg, lɛg,
legs, lɛgz,
wake, weɪk,
waked, weɪkt,
wakes, weɪks,
waking,'weɪ kɪŋ,
woke, woʊk,
woken,'woʊ kən,
human,'hju mɪn,
star, stɑɚ,
stars, stɑɚz,
student,'stu dənt,
students,'stu dənts,
air, eɚ,'eɪ ɚ
airs, eɚz,
chair, ʧeɚ,
chairs,'ʧeɪ ɚz,
gun, gʌn,
guns, gʌnz,
began, bɪ 'gæn,
begin, bɪ 'gɪn,
beginning, bɪ 'gɪ nɪŋ,
begins, bɪ 'gɪnz,
begun, bɪ 'gʌn,
death, dɛθ,
deaths, dɛθs,
tree, tɹi,
trees, tɹiz,
boss, bɑs,
bosses,'bɔ sɪz,
present,'pɹɛ zənt,
presents, pɹi 'zɛnts,
instead, ɪn 'stɛd,
luckier,'lʌ ki ɚ,
luckiest,'lʌ ki əst,
lucky,'lʌ ki,
safe, seɪf,
safer,'seɪ fɚ,
safest,'seɪ fəst,
cold, koʊld,
colder,'koʊl dɚ,
coldest,'koʊl dəst,
ahh, ɑ,- -
explain, ɛk 'spleɪn,
explained, ɪk 'spleɪnd,
explaining, ɪk 'spleɪ nɪŋ,
explains, ɪk 'spleɪnz,
video,'vɪ ɾi oʊ,
videos,'vɪ ɾi oʊz,
brain, bɹeɪn,
brains, bɹeɪnz,
completely, kəm 'pli tli,
voice, voɪs,
voices,'voɪ səz,
cake, keɪk,
cakes, keɪks,
trip, tɹɪp,
trips, tɹɪps,
monkey,'mʌŋ ki,
monkeys,'mʌŋ kiz,
hundred,'hʌn dɹɪd,
hundreds,'hʌ nɚdz,
fix, fɪks,
fixed, fɪkst,
fixes,'fɪk sɪz,
fixing,'fɪk sɪŋ,
entire, ɪn 'taɪ ɚ,
expect, ɛk 'spɛkt,
expected, ɪk 'spɛk tɪd,
expecting, ek 'spɛk tɪŋ,
expects, ɪk 'spɛks,
million,'mɪ ljɪn,
millions,'mɪ ljənz,
allow, ʌ 'laʊ,
allowed, ə 'laʊd,
allowing, ə 'laʊ ɪŋ,
allows, ə 'laʊz,
forever, fɚ 'ɹɛ vɚ,
hid, hɪd,
hidden,'hɪ ɾɪn,
hide, haɪd,
hides, haɪdz,
hiding,'haɪ ɾɪŋ,
huge, hjuʤ,
interesting,'ɪn ʧɹə stɪŋ,
roll, ɹoʊl,
rolled, ɹoʊld,
rolling,'ɹoʊ lɪŋ,
rolls, ɹoʊlz,
clothes, kloʊðz,
fast, fæst,
faster,'fæ stɚ,
fastest,'fæ stəst,
grab, gɹæb,
grabbed, gɹæbd,
grabbing,'gɹæ bɪŋ,
grabs, gɹæbz,
teacher,'ti ʧɚ,
teachers,'ti ʧɚz,
crap, kɹæp,
craps, kɹæps,
animal,'æ nə məl,
animals,'æ nə məlz,
burn, bɚn,
burned, bɚnd,
burning,'bɚ nɪŋ,
burns, bɚnz,
tough, tʌf,
tougher,'tʌ fɚ,
toughest,'tʌ fəst,
restaurant,'ɹɛ stɹɑnt,
restaurants,'ɹɛ stɹɑnts,
sort, soɚt,
sorts, soɚts,
teeth, tiθ,
tooth, tuθ,
marriage,'mɛ ɹɪʤ,
marriages,'mɛ ɹɪ ʤɪz,
proud, pɹaʊd,
proudest,'pɹaʊ ɾəst,
uncle,'ʌŋ kəl,
uncles,'ʌŋ kəlz,
push, pʊʃ,
pushed, pʊʃt,
pushes,'pʊ ʃəz,
pushing,'pʊ ʃɪŋ,
butt, bʌt,
butts, bʌts,
offer,'ɔ fɚ,
offered,'ɔ fɚd,
offering,'ɔ fɚ ɾɪŋ,
offers,'ɔ fɚz,
lord, loɚd,
lords, loɚdz,
unless, ʌn 'lɛs,
feelings,'fi lɪŋz,
suit, sut,
suits, suts,
floor, flo2,
floors, flo2z,
cream, kɹim,
creams, kɹimz,
favorite,'feɪ vɹɪt,
naked,'neɪ kɪd,
list, lIst,
lists, lIsts,
ring, ɹɪŋ,
rings, ɹɪŋz,
clean, klin,
cleaned, klind,
cleaning,'kli nɪŋ,
cleans, klinz,
apologize, ʌ 'pɑ lə ʤaɪz,
apologized, ə 'pɑ lə ʤaɪzd,
apologizes, ə 'pɑ lə ʤaɪ zɪz,
apologizing, ʌ 'pɑ lə ʤaɪ zɪŋ,
clear, kliɚ,
clearer,'kliɚ ɚ,
clearest,'kliɚ əst,
earth, ɚθ,
share, ʃeɚ,
shared, ʃeɚd,
shares, ʃeɚz,
sharing,'ʃɛ ɹɪŋ,
fill, fɪl,
filled, fɪld,
filling,'fɪ lɪŋ,
fills, fɪlz,
pizza,'pit sə,
pizzas,'pit səz,
ridiculous, ɹə 'dɪ kjə ləs,
alive, ʌ 'laɪv,
pretend, pɹə 'tɛnd,
pretended, pɹə 'tɛn dɪd,
pretending, pɹə 'tɛn dɪŋ,
pretends, pɹə 'tɛndz,
hospital,'hɑ spɪ ɾəl,
hospitals,'hɑ spɪ ɾəlz,
sad, sæd,
saddest,'sæ ɾəst,
bunch, bʌnʧ,
half, hæf,
police, pə 'lis,
fish, fɪʃ,
fishes,'fɪ ʃəz,
window,'wɪn doʊ,
windows,'wɪn doʊz,
busier,'bɪ zi ɚ,
busiest,'bɪ zi əst,
busy,'bɪ zi,
pie, paɪ,
pies, paɪz,
answered,'æn sɚd,
answering,'æn sɚ ɹɪŋ,
raise, ɹeɪz,
raised, ɹeɪzd,
raises,'ɹeɪ zəz,
raising,'ɹeɪ zɪŋ,
somewhere,'sʌm weɚ,
sandwich,'sæn wɪʧ,
sandwiches,'sæ mwɪ ʧɪz,
thirties,'θɚ ɾiz,
thirty,'θɚ ɾi,
sale,'seɪ əl,
sales, seɪlz,
choose, ʧuz,
chooses,'ʧu zəz,
choosing,'ʧu zɪŋ,
chose, ʧoʊz,
chosen,'ʧoʊ zən,
definitely,'dɛ fə nɪt li,
swear, sweɚ,
swearing,'sweɚ ɹɪŋ,
swears,'sweɪ ɚz,
swore, swoɚ,
sworn, swoɚn,
boat, boʊt,
boats, boʊts,
tired,'taɪ jɚd,
ho, hoʊ,
upset, ʌp 'sɛt,
less, lɛs,
nine, naɪn,
thousand,'θaʊ zɪnd,
thousands,'θaʊ zɪnz,
smoke, smoʊk,
smoked, smoʊkt,
smokes, smoʊks,
smoking,'smoʊ kɪŋ,
embarrass, ɪm 'bɛ ɹəs,
embarrassed, ɪm 'beɚ ɹɪst,
embarrasses, ɪm 'bæ ɹə sɪz,
embarrassing, ɪm 'beɚ ə sɪŋ,
band, bænd,
bands, bændz,
bear, beɚ,
bearing,'beɚ ɹɪŋ,
bears, beɚz,
bore, boɚ,
born, boɚn,
none, nʌn,
Santa,'sæ nʌ,
strong, stɹɔŋ,
stronger,'stɹɔŋ gɚ,
strongest,'stɹɔŋ gəst,
law, lɔ,
laws, lɑz,
toilet,'toɪ lɪt,
toilets,'toɪ ləts,
jump, ʤʌmp,
jumped, ʤʌmt,
jumping,'ʤʌm pɪŋ,
jumps, ʤʌmps,
count, kaʊnt,
counted,'kaʊ nəd,
counting,'kaʊn tɪŋ,
counts, kaʊnts,
egg, ɛg,
eggs, ɛgz,
Saturday,'sæ ɾɚ deɪ,
Saturdays,'sæ ɾɚ deɪz,
blue, blu,
horrible,'hɑɚ ɹə bəl,
shit, ʃɪt,
shits, ʃɪts,
favor,'feɪ vɚ,
favors,'feɪ vɚz,
handle,'hæn dəl,
handled,'hæn dəld,
handles,'hæn dəlz,
handling,'hæn dlɪŋ,
wall, wɔl,
walls, wɔlz,
art, ɑɚt,
arts, ɑɚts,
cover,'kʌ vɚ,
covered,'kʌ vɚd,
covering,'kʌ vɹəŋ,
covers,'kʌ vɚz,
arm, ɑɚm,
arms, ɑɚmz,
perhaps, pɚ 'hæps,
simple,'sɪm pəl,
simpler,'sɪm plɚ,
simplest,'sɪm pləst,
bus, bʌs,
buses,'bʌ sɪz,
appreciate, ə 'pɹi ʃi eɪt,
appreciated, ə 'pɹi ʃi eɪ ɾɪd,
appreciates, ə 'pɹi ʃi eɪts,
himself, hɪm 'sɛlf,
surprise, sə 'pɹaɪz,
surprised, sə 'pɹaɪzd,
surprises, sə 'pɹaɪ zɪz,
surprising, sə 'pɹaɪ zɪŋ,
candies,'kæn diz,
candy,'kæn di,
finger,'fɪŋ gɚ,
fingers,'fɪŋ gɚz,
worth, wɚθ,
state, steɪt,
states, steɪts,
possible,'pɑ sə bəl,
rich, ɹɪʧ,
richer,'ɹɪ ʧɚ,
richest,'ɹɪ ʧəst,
short, ʃoɚt,
shorter,'ʃoɚ tɚ,
shortest,'ʃoɚ ɾɪst,
king, kɪŋ,
kings, kɪŋz,
knock, nɑk,
knocked, nɑkt,
knocking,'nɑ kɪŋ,
knocks, nɑks,
cookie,'kʊ ki,
cookies,'kʊ kiz,
penis,'pi nɪs,
penises,'pi nɪ sɪz,
histories,'hɪ stɹiz,
history,'hɪ stɚ i,
imagine, ɪ 'mæ ʤɪn,
imagined, ɪ 'mæ ʤɪnd,
imagines, ɪ 'mæ ʤənz,
imagining, ɪ 'mæ ʤə nɪŋ,
third, θɚd,
thirds, θɚdz,
blood, blʌd,
bloods, blʌdz,
drug, dɹʌg,
drugs, dɹʌgz,
future,'fju ʧɚ,
futures,'fju ʧɚz,
prove, pɹuv,
proved, pɹuvd,
proven,'pɹu vən,
proves, pɹuvz,
proving,'pɹu vɪŋ,
alright, ɔ 'ɹaɪt,
captain,'kæp tɪn,
captains,'kæp tənz,
evening,'iv nɪŋ,
evenings,'iv nɪŋz,
congratulations, kəng ɹæʧ əl 'eɪʃ ənz,
system,'sɪ stəm,
systems,'sɪ stəmz,
record, ɹə 'koɚd,
records,'ɹɛ kɚdz,
age, eɪʤ,
ages,'eɪ ʤəz,
deserve, dɪ 'zɚv,
deserved, dɪ 'zɚvd,
deserves, dɪ 'zɚvz,
deserving, dɪ 'zɚ vɪŋ,
normal,'noɚ məl,
yesterday,'jɛs tɚ deɪ,
yesterdays,'jɛ stɚ deɪz,
jerk, ʤɚk,
jerks, ʤɚks,
yay, jeɪ,
bird, bɚd,
birds, bɚdz,
bother,'bɑ ðɚ,
bothered,'bɑ ðɚd,
bothering,'bɑ ðɚ ɪŋ,
bothers,'bɑ ðɚz,
nose, noʊz,
noses,'noʊ zɪz,
fan, fæn,
fans, fænz,
letter,'lɛ ɾɚ,
letters,'lɛ ɾɚz,
rather,'ɹæ ðɚ,
headed,'hɛ ɾəd,
heading,'hɛ ɾɪŋ,
interested,'ɪn ʧɹə stɪd,
owe, oʊ,
owed, oʊd,
owes, oʊz,
owing,'oʊ ɪŋ,
pregnant,'pɹɛg nənt,
destroy, də 'stɹoɪ,
destroyed, dɪ 'stɹoɪd,
destroying, dɪ 'stɹoɪ ɪŋ,
destroys, dɪ 'stɹoɪz,
evil,'i vəl,
milk, mɪlk,
sport, spoɚt,
sports, spoɚts,
admit, əd 'mɪt,
admits, əd 'mɪts,
admitted, əd 'mɪ ɾɪd,
admitting, æd 'mɪ ɾɪŋ,
apparently, ə 'pɛ ɹən tli,
conversation, kɑn vɚ 'seɪ ʃən,
conversations, kɑn vɚ 'seɪ ʃənz,
obviously,'ɑ vi ə sli,
jacket,'ʤæ kɪt,
jackets,'ʤæ kɪts,
during,'dɚ ɹɪŋ,
accept, æk 'sɛpt,
accepted, æk 'sɛp tɪd,
accepting, æk 'sɛp tɪŋ,
accepts, æk 'sɛpts,
dumb, dʌm,
dumber,'dʌ mɚ,
dumbest,'dʌ məst,
bits, bɪts,
consider, kən 'sɪ ɾɚ,
considered, kən 'sɪ ɾɚd,
considering, kən 'sɪ ɾɚ ɪŋ,
considers, kən 'sɪ ɾɚz,
mention,'mɛn ʧɪn,
mentioned,'mɛn ʃənd,
mentioning,'mɛn ʃə nɪŋ,
mentions,'mɛn ʃənz,
step, stɛp,
stepped, stɛpt,
stepping,'stɛ pɪŋ,
steps, stɛps,
dealing,'di lɪŋ,
dealt, dɛlt,
hungrier,'hʌŋ gɹi ɚ,
hungriest,'həŋ gɹi əst,
hungry,'hʌŋ gɹi,
situation, sɪ ʧu 'eɪ ʃən,
situations, sɪ ʧu 'eɪ ʃənz,
lead, lid,
leaded,'lɛ ɾɪd,
leading,'li dɪŋ,
leads, lidz,
led, lɛd,
twelve, twɛlv,
fantastic, fæn 'tæ stɪk,
hole, hoʊl,
holes, hoʊlz,
plus, plʌs,
note, noʊt,
notes, noʊts,
test, tɛst,
tests, tɛsts,
honest,'ɑ nɪst,
character,'keɚ ək tɚ,
characters,'ʧeɚ ək tɚz,
holier,'hoʊ li ɚ,
holiest,'hoʊ li ɪst,
holy,'hoʊ li,
manager,'mæ nə ʤɚ,
managers,'mæ nə ʤɚz,
lesson,'lɛ sɪn,
lessons,'lɛ sənz,
soul, soʊl,
souls, soʊlz,
nope, noʊp,
dark, dɑɚk,
darker,'dɑɚ kɚ,
darkest,'dɑɚ kəst,
difference,'dɪ fɹəns,
differences,'dɪ fɚ ən sɪz,
wine, waɪn,
wines, waɪnz,
road, ɹoʊd,
roads, ɹoʊdz,
calm, kɑm,
calmed, kɑmd,
calming,'kɑ mɪŋ,
calms, kɑmz,
personal,'pɚ sə nəl,
clown, klaʊn,
clowns, klaʊnz,
computer, kəm 'pju ɾɚ,
computers, kəm 'pju ɾɚz,
horse, hoɚs,
horses,'hoɚ sɪz,
mayor,'meɪ ɚ,
mayors,'meɪ ɚz,
inside, ɪn 'saɪd,
sexier,'sɛk si ɚ,
sexiest,'sɛk si əst,
sexy,'sɛk si,
dirtier,'dɚ ɾi ɚ,
dirtiest,'dɚ ɾi əst,
dirty,'dɚ ɾi,
carried,'keɚ id,
carries,'keɚ iz,
carry,'keɪ ɹi,
carrying,'kæ ɹi ɪŋ,
professor, pɹə 'fɛ sɚ,
professors, pɚ 'fɛ sɚz,
usually,'ju ʒə li,
bottle,'bɑ ɾəl,
bottles,'bɑ ɾəlz,
cheese, ʧiz,
summer,'sʌ mɚ,
summers,'sʌ mɚz,
remind, ɹə 'maɪnd,
reminded, ɹə 'maɪn dɪd,
reminding, ɹɪ 'maɪn dɪŋ,
reminds, ɹɪ 'maɪndz,
afternoon, æf tɚ 'nun,
afternoons, æf tɚ 'nunz,
pee, pi,
peed, pid,
peeing,'pi ɪŋ,
pees, piz,
across, ʌ 'kɹɑs,
angrier,'æŋ gɹi ɚ,
angriest,'æŋ gɹi əst,
angry,'eɪŋ gɹi,
fella,'fɛ lə,
fellas,'fɛ ləs,
film, fɪlm,
films, fɪlmz,
reach, ɹiʧ,
reached, ɹiʧt,
reaches,'ɹi ʧəz,
reaching,'ɹi ʧɪŋ,
shower,'ʃaʊ wɚ,
showers,'ʃaʊ ɚz,
cup, kʌp,
cups, kʌps,
lawyer,'lɔ jɚ,
lawyers,'loɪ ɚz,
camera,'kæ mɹʌ,
cameras,'kæ mɚ əz,
pain, peɪn,
pains, peɪnz,
hurried,'hɚ id,
hurries,'hɚ iz,
hurry,'hɚ ɹi,
hurrying,'hɚ ɹi ɪŋ,
desk, dɛsk,
desks, dɛsks,
monster,'mɑn stɚ,
monsters,'mɑn stɚz,
certainly,'sɚ tən li,
cop, kɑp,
cops, kɑps,
credit,'kɹɛ ɾɪt,
credits,'kɹɛ ɾɪts,
prepare, pɹə 'peɚ,
prepared, pɹə 'peɚd,
prepares, pɚ 'peɪ ɚz,
preparing, pɚ 'peɚ ɪŋ,
anywhere,'ɛ ni weɚ,
breakfast,'bɹɛk fɪst,
breakfasts,'bɹɛk fəsts,
bastard,'bæ stɚd,
bastards,'bæ stɚdz,
church, ʧɚʧ,
churches, ʧɚʧɪz,
hire,'haɪ jɚ,
hired,'haɪ ɚd,
hires,'haɪ ɚz,
hiring,'haɪ ɹɪŋ,
decision, dɪ 'sɪ ʒɪn,
decisions, dɪ 'sɪ ʒənz,
pig, pɪg,
pigs, pɪgz,
loser,'lu zɚ,
losers,'lu zɚz,
robot,'ɹoʊ bɑt,
robots,'ɹoʊ bɑts,
chocolate,'ʧɑ kə lɪt,
chocolates,'ʧɔ kləts,
deep, dip,
deeper,'di pɚ,
deepest,'di pəst,
park, pɑɚk,
parks, pɑɚks,
service,'sɚ vɪs,
services,'sɚ və səz,
Jew, ʤu,
tape, teɪp,
tapes, teɪps,
kitchen,'kɪ ʧɪn,
kitchens,'kɪ ʧənz,
halves, hævz,
rid, ɹɪd,
rids, ɹɪdz,
grandpa,'gɹæm pɑ,
hero,'hiɚ ɹoʊ / 'hi ɹoʊ,
heroes,'hiɚ oʊz,
shots, ʃɑts,
spot, spɑt,
spots, spɑts,
folks, foʊks,
yell, jɛl,
yelled, jɛld,
yelling,'jɛ lɪŋ,
yells, jɛlz,
awful,'ɔ fəl,
scene, sin,
scenes, sinz,
trick, tɹɪk,
tricks, tɹɪks,
asshole,'æ shoʊl,
assholes,'æs hoʊlz,
issue,'ɪ ʃu,
issues,'ɪ ʃuz,
loveliest,'lə vli əst,
lovely,'lʌ vli,
honor,'ɑ nɚ,
honors,'ɑ nɚz,
visit,'vɪ zɪt,
visited,'vɪ zɪ ɾɪd,
visiting,'vɪ zɪ ɾɪŋ,
visits,'vɪ zɪts,
cleaner,'kli nɚ,
cleanest,'kli nəst,
seconds,'sɛ kɪnz,
chick, ʧɪk,
chicks, ʧɪks,
costume,'kɑ stjum,
costumes,'kɑ stumz,
Friday,'fɹaɪ deɪ,
Fridays,'fɹaɪ deɪz,
hall, hɔl,
halls, hɔlz,
Ms, mɪz,
fake, feɪk,
forgave, fɚ 'geɪv,
forgive, fɚ 'gɪv,
forgiven, fɚ 'gɪ vɪn,
forgives, fɚ 'gɪvz,
forgiving, fɚ 'gɪ vɪŋ,
grade, gɹeɪd,
grades, gɹeɪdz,
fifteen,'fɪf tin,
cheat, ʧit,
cheated,'ʧi ɾəd,
cheating,'ʧi ɾɪŋ,
cheats, ʧits,
Chinese, ʧaɪ 'niz,
crapped, kɹæpt,
create, kɹi 'eɪt,
created, kɹi 'eɪ ɾəd,
creates, kɹi 'eɪts,
creating, kɹi 'eɪ ɾɪŋ,
comfortable,'kʌmf tɚ bəl,
hotel, hoʊ 'tɛl,
hotels, hoʊ 'tɛlz,
magazine,'mæ gə zin,
magazines,'mæ gə zinz,
settle,'sɛ ɾəl,
settled,'sɛ ɾəld,
settles,'sɛ ɾəlz,
settling,'sɛ tlɪŋ,
accident,'æk sə ɾənt,
accidents,'æk sə ɾənts,
boob, bub,
boobs, bubz,
excellent,'ɛk sə lənt,
neighbor,'neɪ bɚ,
neighbors,'neɪ bɚz,
train, tɹeɪn,
trains, tɹeɪnz,
board, boɚd,
boards, boɚdz,
pop, pɑp,
popped, pɑpt,
popping,'pɑ pɪŋ,
pops, pɑps,
spirit,'spiɚ ɪt,
spirits,'spiɚ ɪts,
cow, kaʊ,
cows, kaʊz,
buildings,'bɪl dɪŋz,
ear, iɚ,
ears, iɚz,
giant,'ʤaɪ ɪnt,
giants,'ʤaɪ ənts,
uglier,'ʌ gli ɚ,
ugliest,'ʌ gli əst,
ugly,'ʌ gli,
toy, toɪ,
toys, toɪz,
cancel,'kæn səl,
canceled,'kæn səld,
canceling,'kæn slɪŋ,
cancels,'kæn səlz,
Internet,'ɪn tɚ nɛt,'ɪ nɚ nɛt
Net, nɛt,
strange, stɹeɪnʤ,
stranger,'stɹeɪn ʤɚ,
strangest,'stɹeɪn ʤɪst,
aunt, ænt,
aunts, ænts,
island,'aɪ lənd,
islands,'aɪ ləndz,
extra,'ɛk stɹə,
fit, fɪt,
fits, fɪts,
fitted,'fɪ ɾəd,
fitting,'fɪ ɾɪŋ,
rock, ɹɑk,
rocks, ɹɑks,
action,'æk ʃən,
actions,'æk ʃənz,
bill, bɪl,
bills, bɪlz,
field,'fi əld,
fields, fildz,
fresh, fɹɛʃ,
fresher,'fɹɛ ʃɚ,
freshest,'fɹɛ ʃəst,
level,'lɛ vəl,
levels,'lɛ vəlz,
cost, kɔst,
costing,'kɔ stɪŋ,
costs, kɔsts,
size, saɪz,
sizes,'saɪ zəz,
cell, sɛl,
cells, sɛlz,
serve, sɚv,
served, sɚvd,
serves, sɚvz,
serving,'sɚ vɪŋ,
shake, ʃeɪk,
shaken,'ʃeɪ kən,
shakes, ʃeɪks,
shaking,'ʃeɪ kɪŋ,
shook, ʃʊk,
bowl, boʊl,
bowls, boʊlz,
neck, nɛk,
necks, nɛks,
control, kən 'tɹoʊl,
controls,'kɑn tɹɑlz,
loud, laʊd,
louder,'laʊ ɾɚ,
loudest,'laʊ ɾɪst,
bedroom,'bɛ dɹum,
bedrooms,'bɛ dɹumz,
heaven,'hɛ vɪn,
rights, ɹaɪts,
commercial, kə 'mɚ ʃəl,
commercials, kə 'mɚ ʃəlz,
draw, ʤɹɔ,
drawing,'dɹɔ ɪŋ,
drawn, dɹɔn,
draws, dɹɔz,
drew,'dɹu,
fail, feɪl,
failed, feɪld,
failing,'feɪ lɪŋ,
fails, feɪlz,
guest, gɛst,
guests, gɛsts,
insane, ɪn 'seɪn,
cook, kʊk,
cooked, kʊkt,
cooking,'kʊ kɪŋ,
cooks, kʊks,
pleasure,'plɛ ʒɚ,
pleasures,'plɛ ʒɚz,
truck, tɹʌk,
trucks, tɹʌks,
science,'saɪ əns,
careful,'keɚ fəl,
nervous,'nɚ vɪs,
although, ɔ 'ðoʊ,
gas, gæs,
gases,'gæ səz,
partner,'pɑɚt nɚ,
partners,'pɑɚt nɚz,
scream, skɹim,
screamed, skɹimd,
screaming,'skɹi mɪŋ,
screams, skɹimz,
pool, pul,
pools, pulz,
appear, ʌ 'piɚ,
appeared, ə 'piɚd,
appearing, ʌ 'piɚ əŋ,
appears, ə 'piɚz,
clearly,'kliɚ li,
